"Step","inrl-temporal-6 - eval/black_vs_baseline","inrl-temporal-6 - eval/black_vs_baseline__MIN","inrl-temporal-6 - eval/black_vs_baseline__MAX"
"2465","0.71484375","0.71484375","0.71484375"
"2470","0.689453125","0.689453125","0.689453125"
"2475","0.703125","0.703125","0.703125"
"2480","0.69140625","0.69140625","0.69140625"
"2485","0.69921875","0.69921875","0.69921875"
"2490","0.66796875","0.66796875","0.66796875"
"2495","0.654296875","0.654296875","0.654296875"
"2500","0.650390625","0.650390625","0.650390625"
"2505","0.673828125","0.673828125","0.673828125"
"2510","0.669921875","0.669921875","0.669921875"
"2515","0.61328125","0.61328125","0.61328125"
"2520","0.662109375","0.662109375","0.662109375"
"2525","0.62109375","0.62109375","0.62109375"
"2530","0.66796875","0.66796875","0.66796875"
"2535","0.6640625","0.6640625","0.6640625"
"2540","0.689453125","0.689453125","0.689453125"
"2545","0.6796875","0.6796875","0.6796875"
"2550","0.685546875","0.685546875","0.685546875"
"2555","0.685546875","0.685546875","0.685546875"
"2560","0.681640625","0.681640625","0.681640625"
"2565","0.6953125","0.6953125","0.6953125"
"2570","0.724609375","0.724609375","0.724609375"
"2575","0.73828125","0.73828125","0.73828125"
"2580","0.720703125","0.720703125","0.720703125"
"2585","0.685546875","0.685546875","0.685546875"
"2590","0.701171875","0.701171875","0.701171875"
"2595","0.66015625","0.66015625","0.66015625"
"2600","0.67578125","0.67578125","0.67578125"
"2605","0.671875","0.671875","0.671875"
"2610","0.69140625","0.69140625","0.69140625"
"2615","0.6953125","0.6953125","0.6953125"
"2620","0.662109375","0.662109375","0.662109375"
"2625","0.67578125","0.67578125","0.67578125"
"2630","0.693359375","0.693359375","0.693359375"
"2635","0.7265625","0.7265625","0.7265625"
"2640","0.68359375","0.68359375","0.68359375"
"2645","0.671875","0.671875","0.671875"
"2650","0.66796875","0.66796875","0.66796875"
"2655","0.685546875","0.685546875","0.685546875"
"2660","0.658203125","0.658203125","0.658203125"
"2665","0.654296875","0.654296875","0.654296875"
"2670","0.666015625","0.666015625","0.666015625"
"2675","0.732421875","0.732421875","0.732421875"
"2680","0.701171875","0.701171875","0.701171875"
"2685","0.71875","0.71875","0.71875"
"2690","0.673828125","0.673828125","0.673828125"
"2695","0.685546875","0.685546875","0.685546875"
"2700","0.6640625","0.6640625","0.6640625"
"2705","0.701171875","0.701171875","0.701171875"
